Stations_id;Bezugszeitraum;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      1197;1981-2010;        46;        74;       117;       165;       186;       196;       218;       201;       157;       103;        51;        34;      1546;
      1224;1981-2010;        52;        80;       122;       165;       199;       220;       242;       229;       163;       107;        60;        39;      1678;
      1266;1981-2010;        43;        66;       112;       179;       232;       209;       225;       211;       145;       104;        54;        36;      1616;
      1270;1981-2010;        60;        78;       118;       175;       210;       208;       223;       209;       155;       117;        61;        45;      1659;
      1279;1981-2010;        47;        74;       113;       171;       205;       210;       230;       210;       153;       110;        51;        33;      1607;
      1292;1981-2010;        45;        74;       108;       167;       205;       201;       222;       211;       152;       106;        47;        36;      1574;
      1297;1981-2010;        42;        68;       104;       162;       197;       195;       207;       194;       135;        96;        41;        29;      1470;
      1300;1981-2010;        45;        74;       108;       158;       191;       188;       202;       188;       132;        98;        46;        35;      1465;
      1303;1981-2010;        55;        73;       110;       162;       202;       186;       211;       189;       138;       111;        57;        41;      1533;
      1327;1981-2010;        54;        79;       115;       167;       190;       193;       208;       192;       142;       108;        59;        41;      1548;
      1332;1981-2010;        56;        83;       121;       173;       213;       209;       234;       216;       155;       113;        55;        45;      1673;
      1346;1981-2010;        96;        98;       119;       148;       169;       180;       212;       199;       149;       127;        88;        76;      1661;
      1357;1981-2010;        43;        69;       101;       165;       203;       198;       216;       208;       147;       105;        47;        35;      1537;
      1358;1981-2010;        69;        79;       101;       156;       182;       170;       195;       193;       139;       111;        61;        62;      1517;
      1420;1981-2010;        50;        80;       121;       178;       211;       219;       233;       219;       156;       103;        51;        41;      1662;
      1443;1981-2010;        63;        90;       127;       167;       204;       220;       251;       233;       172;       118;        71;        54;      1768;
      1451;1981-2010;        45;        68;       109;       174;       223;       198;       214;       198;       137;       103;        52;        35;      1556;
      1468;1981-2010;        72;        88;       121;       159;       189;       204;       225;       216;       162;       116;        73;        55;      1680;
      1526;1981-2010;        40;        69;       105;       165;       197;       200;       213;       197;       138;        94;        38;        27;      1483;
      1544;1981-2010;        49;        71;       108;       170;       218;       208;       215;       202;       145;       108;        51;        38;      1583;
      1550;1981-2010;        75;       107;       137;       160;       181;       180;       210;       195;       161;       139;        80;        52;      1677;
      1580;1981-2010;        48;        81;       125;       175;       206;       215;       231;       217;       153;        98;        49;        37;      1635;
      1590;1981-2010;        53;        76;       112;       168;       205;       198;       211;       192;       135;       110;        57;        51;      1568;
      1602;1981-2010;        51;        77;       124;       165;       198;       219;       240;       223;       161;       103;        56;        37;      1654;
      1612;1981-2010;        68;        81;       115;       174;       215;       199;       217;       209;       152;       117;        67;        55;      1669;
      1619;1981-2010;        43;        76;       119;       177;       208;       212;       232;       219;       156;       100;        47;        34;      1623;
      1639;1981-2010;        46;        77;       117;       177;       204;       214;       227;       211;       147;        98;        45;        36;      1600;
      1645;1981-2010;        41;        71;       108;       165;       195;       195;       209;       196;       139;        97;        41;        31;      1488;
      1667;1981-2010;        45;        68;       108;       174;       224;       199;       216;       201;       140;       104;        52;        35;      1566;
      1684;1981-2010;        62;        78;       120;       181;       224;       211;       230;       222;       153;       124;        63;        50;      1718;
      1691;1981-2010;        49;        72;       106;       162;       198;       195;       205;       191;       137;       102;        50;        38;      1502;
      1735;1981-2010;        59;        85;       117;       170;       205;       200;       222;       209;       153;       121;        58;        48;      1647;
      1736;1981-2010;        40;        65;       108;       174;       228;       205;       223;       206;       145;       107;        50;        31;      1582;
      1757;1981-2010;        48;        66;       120;       188;       244;       222;       246;       218;       155;       114;        52;        39;      1711;
      1803;1981-2010;        47;        68;       117;       185;       246;       218;       235;       211;       152;       110;        53;        38;      1680;
      1832;1981-2010;        82;        87;       110;       154;       183;       175;       199;       193;       149;       132;        79;        73;      1616;
      1964;1981-2010;        42;        72;       113;       166;       192;       201;       219;       201;       145;        96;        47;        32;      1526;
      1975;1981-2010;        48;        68;       109;       172;       219;       197;       218;       205;       145;       108;        54;        38;      1580;
      1981;1981-2010;        45;        66;       106;       170;       222;       199;       218;       202;       143;       105;        49;        32;      1557;
      1990;1981-2010;        43;        66;       107;       170;       221;       197;       216;       201;       143;       105;        50;        33;      1552;
      1993;1981-2010;        40;        67;       103;       161;       201;       189;       202;       190;       134;        97;        43;        31;      1458;
      2014;1981-2010;        51;        72;       108;       166;       218;       206;       215;       200;       142;       107;        52;        39;      1575;
      2039;1981-2010;        41;        62;       101;       159;       199;       193;       202;       190;       130;        91;        36;        31;      1435;
      2074;1981-2010;        65;        74;       121;       161;       193;       204;       228;       217;       159;       109;        65;        47;      1643;
      2080;1981-2010;        46;        78;       118;       173;       206;       215;       233;       219;       157;       101;        50;        35;      1631;
      2110;1981-2010;        56;        77;       114;       164;       194;       196;       211;       194;       142;       111;        60;        44;      1563;
      2115;1981-2010;        50;        78;       127;       195;       252;       234;       245;       223;       154;       107;        55;        39;      1757;
      2120;1981-2010;        49;        73;       109;       168;       215;       205;       216;       203;       143;       109;        50;        39;      1579;
      2147;1981-2010;        52;        80;       110;       164;       213;       199;       213;       203;       143;       110;        57;        40;      1583;
      2167;1981-2010;        48;        79;       117;       168;       198;       205;       223;       207;       151;       102;        53;        38;      1589;
      2171;1981-2010;        45;        70;       100;       158;       190;       191;       203;       186;       132;        89;        41;        32;      1437;
      2173;1981-2010;        50;        72;       108;       160;       194;       186;       201;       184;       135;       105;        53;        40;      1488;
      2206;1981-2010;        44;        69;       104;       162;       204;       194;       206;       194;       137;       100;        45;        34;      1493;
      2211;1981-2010;        47;        75;       109;       162;       189;       192;       207;       192;       138;       100;        48;        36;      1495;
      2250;1981-2010;        50;        78;       112;       170;       207;       203;       225;       209;       149;       112;        49;        40;      1604;
      2260;1981-2010;        48;        76;       110;       168;       203;       198;       214;       210;       153;       111;        49;        37;      1577;
      2261;1981-2010;        48;        77;       111;       169;       208;       198;       218;       212;       154;       110;        50;        38;      1591;
      2268;1981-2010;        42;        72;       108;       167;       202;       203;       221;       206;       147;        99;        42;        31;      1540;
      2290;1981-2010;        99;       104;       139;       169;       197;       203;       234;       215;       162;       134;        93;        80;      1829;
      2303;1981-2010;        43;        67;       112;       168;       229;       208;       230;       219;       149;       105;        54;        35;      1618;
      2306;1981-2010;        42;        63;       113;       181;       238;       215;       233;       213;       147;       107;        52;        33;      1637;
      2319;1981-2010;        71;        89;       124;       160;       195;       195;       224;       206;       154;       122;        71;        52;      1663;
      2324;1981-2010;        42;        69;       101;       155;       198;       183;       201;       191;       131;        98;        45;        31;      1445;
      2480;1981-2010;        43;        77;       118;       177;       208;       213;       231;       216;       154;       101;        46;        33;      1617;
      2483;1981-2010;        50;        76;        99;       153;       179;       177;       193;       176;       127;        94;        43;        41;      1409;
      2497;1981-2010;        54;        77;       111;       156;       184;       188;       207;       197;       141;       104;        59;        40;      1518;
      2522;1981-2010;        56;        88;       133;       182;       220;       232;       255;       239;       176;       112;        66;        46;      1805;
